entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos
111248,111250,2019-07-16 11:15:00,2019-07-16 11:25:00,-1,10085.0,9963.65,2,581.7500000000018,25.0,True
111258,111259,2019-07-16 12:05:00,2019-07-16 12:10:00,-1,9865.0,9605.1,1,1274.4999999999982,25.0,True
111318,111321,2019-07-16 18:05:00,2019-07-16 18:20:00,-1,9460.0,9473.8,3,-93.99999999999636,25.0,True
111355,111358,2019-07-16 21:10:00,2019-07-16 21:25:00,-1,9380.0,9332.4,3,213.00000000000182,25.0,True
111468,111472,2019-07-17 06:35:00,2019-07-17 06:55:00,-1,9240.0,9185.95,4,245.24999999999636,25.0,True
111540,111544,2019-07-17 12:35:00,2019-07-17 12:55:00,1,9925.0,9825.75,4,-521.25,25.0,True
111545,111546,2019-07-17 13:00:00,2019-07-17 13:05:00,1,9925.0,9830.7,1,-496.49999999999636,25.0,True
111553,111560,2019-07-17 13:40:00,2019-07-17 14:15:00,1,9930.0,9924.75,7,-51.25,25.0,True
111683,111685,2019-07-18 01:30:00,2019-07-18 01:40:00,1,10025.0,9959.4,2,-353.0000000000018,25.0,True
111759,111762,2019-07-18 07:50:00,2019-07-18 08:05:00,-1,9440.0,9463.7,3,-143.50000000000364,25.0,True
111775,111778,2019-07-18 09:10:00,2019-07-18 09:25:00,-1,9370.0,9438.45,3,-367.25000000000364,25.0,True
111781,111784,2019-07-18 09:40:00,2019-07-18 09:55:00,1,10095.0,10291.05,3,955.2499999999964,25.0,True
111785,111786,2019-07-18 10:00:00,2019-07-18 10:05:00,1,10395.0,10360.35,1,-198.24999999999818,25.0,True
111788,111789,2019-07-18 10:15:00,2019-07-18 10:20:00,1,10465.0,10434.6,1,-176.99999999999818,25.0,True
111797,111808,2019-07-18 11:00:00,2019-07-18 11:55:00,1,10540.0,10607.85,11,314.2500000000018,25.0,True
111831,111832,2019-07-18 13:50:00,2019-07-18 13:55:00,1,10715.0,10716.75,1,-16.25,25.0,True
111879,111880,2019-07-18 18:50:00,2019-07-18 18:55:00,1,10825.0,10736.55,1,-467.25000000000364,25.0,True
112334,112338,2019-07-22 09:45:00,2019-07-22 10:05:00,-1,10315.0,10251.5,4,292.5,25.0,True
112394,112395,2019-07-22 14:45:00,2019-07-22 14:50:00,-1,10150.0,10170.7,1,-128.50000000000364,25.0,True
112511,112519,2019-07-23 01:30:00,2019-07-23 02:10:00,-1,10070.0,10079.8,8,-73.99999999999636,25.0,True
112536,112555,2019-07-23 03:35:00,2019-07-23 05:10:00,-1,9980.0,10019.2,19,-221.00000000000364,25.0,True
112564,112565,2019-07-23 05:55:00,2019-07-23 06:00:00,-1,9920.0,9988.9,1,-369.4999999999982,25.0,True
112596,112601,2019-07-23 08:35:00,2019-07-23 09:00:00,-1,9890.0,9958.6,5,-368.0000000000018,25.0,True
112703,112715,2019-07-23 18:30:00,2019-07-23 19:30:00,-1,9860.0,9711.15,12,719.2500000000018,25.0,True
112736,112744,2019-07-23 21:15:00,2019-07-23 21:55:00,-1,9615.0,9685.9,8,-379.4999999999982,25.0,True
112759,112774,2019-07-23 23:10:00,2019-07-24 00:25:00,-1,9590.0,9655.6,15,-353.0000000000018,25.0,True
112906,112907,2019-07-24 11:25:00,2019-07-24 11:30:00,-1,9560.0,9579.85,1,-124.25000000000182,25.0,True
112993,113008,2019-07-24 19:40:00,2019-07-24 20:55:00,1,9910.0,10112.85,15,989.2500000000018,25.0,True
113303,113307,2019-07-25 22:30:00,2019-07-25 22:50:00,-1,9765.0,9837.4,4,-386.9999999999982,25.0,True
113462,113465,2019-07-26 11:45:00,2019-07-26 12:00:00,1,10040.0,9954.45,3,-452.74999999999636,25.0,True
113514,113521,2019-07-28 17:05:00,2019-07-28 17:40:00,-1,9740.0,9286.95,7,2240.2499999999964,25.0,True
113947,113948,2019-07-30 06:10:00,2019-07-30 06:15:00,1,9715.0,9617.85,1,-510.7499999999982,25.0,True
